id,name,number,lon,lat,count,accessible
"0",Glengarry,2290,-113.48,53.5958,1,"4"
"1",Lauderdale,3260,-113.504,53.5885,1,"3"
"2",Rosslyn,3390,-113.504,53.5958,2,"3"
"3",Killarney,2420,-113.48,53.5885,3,"4"
"4",Jasper Park,4230,-113.584,53.5231,2,"4"
"5",Richfield,6600,-113.459,53.4693,1,"2"
"6",Queen Alexandra,5330,-113.505,53.5123,3,"6"
"7",Kildare,2400,-113.456,53.603,1,"7"
"8",Allendale,5010,-113.505,53.5023,1,"5"
"9",Parkallen,5310,-113.518,53.5034,2,"3"
"10",Woodcroft,3450,-113.558,53.5647,1,"6"
"11",Lee Ridge,6400,-113.445,53.4695,1,"2"
"12",Hillview,6300,-113.429,53.4695,1,"2"
"13",Idylwylde,6320,-113.449,53.5217,1,"5"
"14",Ottewell,6550,-113.43,53.5316,4,"4"
"15",York,2720,-113.43,53.6029,1,"3"
"16",Callingwood South,4080,-113.623,53.5007,2,"3"
"17",Empire Park,5170,-113.505,53.4848,3,"5"
"18",Meadowlark Park,4310,-113.597,53.5255,1,"1"
"19",Grovenor,3210,-113.572,53.5459,1,"7"
"20",Britannia Youngstown,4060,-113.602,53.546,2,"4"
"21",Evansdale,2260,-113.479,53.6108,1,"6"
"22",Northmount,2580,-113.48,53.603,2,"4"
"23",Prince Rupert,1170,-113.522,53.5627,2,"2"
"24",Sherbrooke,3410,-113.547,53.5762,0,"3"
"25",Spruce Avenue,1230,-113.499,53.5641,5,"7"
"26",Westwood,1250,-113.498,53.5761,0,"7"
"27",Highlands,2330,-113.432,53.5672,2,"12"
"28",Elmwood,4140,-113.606,53.5158,2,"6"
"29",Thorncliff,4560,-113.623,53.5163,1,"4"
"30",Casselman,2130,-113.424,53.6113,0,"3"
"31",Fulton Place,6240,-113.426,53.546,4,"7"
"32",Rio Terrace,4430,-113.585,53.5084,1,"2"
"33",Ormsby Place,4380,-113.643,53.4993,1,"2"
"34",Parkview,3330,-113.568,53.5239,1,"3"
"35",Beacon Heights,2040,-113.406,53.5735,1,"9"
"36",Aldergrove,4020,-113.641,53.5168,1,"2"
"37",Eastwood,1100,-113.468,53.5744,2,"5"
"38",Rhatigan Ridge,5350,-113.589,53.4748,1,"1"
"39",Ramsay Heights,5340,-113.579,53.4833,0,"4"
"40",Menisa,6450,-113.447,53.4422,1,"2"
"41",Quesnell Heights,4420,-113.574,53.5093,0,"1"
"42",Capilano,6061,-113.424,53.5545,1,"5"
"43",Alberta Avenue,1010,-113.485,53.5685,2,"11"
"44",Delton,1080,-113.483,53.579,0,"0"
"45",Minchau,6530,-113.409,53.4675,1,"6"
"46",Sherwood,4500,-113.584,53.5291,0,"4"
"47",Greenview,6280,-113.426,53.4755,1,"2"
"48",Greenfield,5220,-113.527,53.4714,2,"5"
"49",Dovercourt,3170,-113.559,53.5751,2,"3"
"50",Pleasantview,5320,-113.507,53.493,1,"5"
"51",Lendrum Place,5270,-113.523,53.4931,3,"5"
"52",Meyonohk,6470,-113.458,53.4555,1,"2"
"53",Kameyosek,6340,-113.442,53.4618,1,"1"
"54",Tipaskan,6750,-113.458,53.4619,1,"2"
"55",Mill Woods Park,6510,-113.441,53.456,1,"2"
"56",Westbrook Estates,5540,-113.546,53.4686,0,"0"
"57",Mayfield,4290,-113.598,53.5548,2,"2"
"58",Michaels Park,6480,-113.447,53.4794,0,"3"
"59",McKernan,5290,-113.521,53.5125,1,"8"
"60",Callingwood North,4070,-113.623,53.508,1,"1"
"61",Dechene,4110,-113.637,53.4911,1,"5"
"62",Bellevue,2060,-113.446,53.5659,2,"6"
"63",Athlone,3010,-113.551,53.5883,2,"3"
"64",Mill Woods Town Centre,6520,-113.428,53.4564,0,"11"
"65",Dominion Industrial,3160,-113.572,53.5758,0,"0"
"66",McNamara Industrial,4300,-113.621,53.5541,0,"0"
"67",Edmiston Industrial,4130,-113.634,53.566,0,"0"
"68",Evergreen,2270,-113.35,53.6322,0,"0"
"69",West Sheffield Industrial,4600,-113.609,53.5596,0,"0"
"70",Wilson Industrial,4640,-113.634,53.5541,0,"0"
"71",Armstrong Industrial,4030,-113.621,53.5658,0,"0"
"72",McIntyre Industrial,6430,-113.453,53.4891,0,"4"
"73",Youngstown Industrial,4660,-113.612,53.5515,0,"0"
"74",Inglewood,3240,-113.541,53.5645,2,"4"
"75",Oleskiw,4360,-113.607,53.4978,0,"0"
"76",Belmead,4040,-113.642,53.5254,1,"3"
"77",Wild Rose,6790,-113.38,53.4706,0,"0"
"78",Canon Ridge,2120,-113.379,53.5787,0,"1"
"79",River Valley Terwillegar,5380,-113.61,53.4796,0,"0"
"80",Kiniski Gardens,6370,-113.401,53.475,2,"2"
"81",Blackmud Creek,5453,-113.511,53.4204,0,"0"
"82",Crestwood,3140,-113.569,53.5349,1,"5"
"83",Larkspur,6390,-113.384,53.4799,2,"2"
"84",Weinlos,6770,-113.414,53.4601,3,"4"
"85",Tawa,6720,-113.428,53.4622,0,"1"
"86",Mitchell Industrial,4330,-113.584,53.5737,0,"0"
"87",Morin Industrial,4340,-113.634,53.545,0,"0"
"88",Norwester Industrial,4350,-113.609,53.5667,0,"0"
"89",Holyrood,6310,-113.45,53.5312,1,"3"
"90",Parsons Industrial,6570,-113.479,53.4598,0,"0"
"91",Poundmaker Industrial,4410,-113.646,53.5524,0,"0"
"92",Ekota,6200,-113.443,53.4495,1,"3"
"93",Satoo,6680,-113.459,53.4466,2,"2"
"94",Sheffield Industrial,4490,-113.597,53.561,0,"0"
"95",Sunwapta Industrial,4530,-113.646,53.545,0,"0"
"96",University of Alberta,5520,-113.525,53.5233,0,"3"
"97",Stone Industrial,4510,-113.621,53.545,0,"0"
"98",Blue Quill Estates,5070,-113.541,53.4579,0,"1"
"99",Miller,2541,-113.413,53.6108,0,"0"
"100",Falconer Heights,5190,-113.59,53.4666,0,"1"
"101",Wellington,3430,-113.553,53.5959,1,"4"
"102",Coronet Addition Industrial,6090,-113.455,53.5016,0,"1"
"103",Huff Bremner Estate Industrial,3230,-113.572,53.5646,0,"1"
"104",West Jasper Place,4580,-113.584,53.5364,1,"1"
"105",Davies Industrial West,6170,-113.454,53.4969,1,"3"
"106",Royal Gardens,5430,-113.528,53.4796,2,"6"
"107",Malmo Plains,5280,-113.529,53.4857,1,"5"
"108",McLeod,2530,-113.437,53.6105,2,"2"
"109",Strathcona Junction,5151,-113.495,53.5078,0,"3"
"110",Griesbach,3111,-113.504,53.6068,2,"2"
"111",Hollick-Kenyon,2340,-113.423,53.6226,0,"0"
"112",Carter Crest,5130,-113.578,53.4639,0,"1"
"113",Coronet Industrial,6100,-113.479,53.4928,0,"3"
"114",Tamarack,6443,-113.362,53.4667,0,"0"
"115",Rosedale Industrial,6650,-113.479,53.4986,0,"1"
"116",Kilkenny,2410,-113.455,53.611,5,"7"
"117",Mayliewan,2511,-113.461,53.6223,0,"0"
"118",Caernarvon,3060,-113.527,53.6116,1,"1"
"119",Papaschase Industrial,6560,-113.479,53.4846,0,"3"
"120",Calgary Trail North,5110,-113.494,53.4911,0,"4"
"121",Ellerslie,6211,-113.457,53.4284,0,"0"
"122",Blackburne,5590,-113.503,53.4301,0,"0"
"123",Virginia Park,1240,-113.452,53.5614,1,"5"
"124",Place LaRue,4400,-113.634,53.5393,0,"0"
"125",La Perle,4240,-113.64,53.5334,1,"1"
"126",Carleton Square Industrial,4100,-113.608,53.5728,0,"0"
"127",Calgary Trail South,5120,-113.494,53.4697,0,"0"
"128",Lymburn,4270,-113.642,53.5075,1,"2"
"129",White Industrial,4630,-113.647,53.5647,0,"0"
"130",Gariepy,4160,-113.622,53.4938,1,"4"
"131",Henderson Estates,5230,-113.599,53.4677,0,"1"
"132",Glenora,3200,-113.556,53.5451,2,"5"
